rank,handle,channel,subscribers,subscribers_display,total_views,total_views_display,videos_display,us_lean,lean_note,source
33,nowthisimpact,NowThis Impact,5210000,5.21M,5180000000,5.18B,26.89K,Left,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
34,newtothestreettv,New to The Street TV,5200000,5.2M,99410000,99.41M,2.26K,Non-political / other,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
35,dramaalert,DramaAlert,5200000,5.2M,1270000000,1.27B,1.18K,Non-political / other,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
36,business,Bloomberg Originals,5150000,5.15M,1200000000,1.2B,49.49K,Center/Institutional,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
37,eliashossain,Elias Hossain,5030000,5.03M,347910000,347.91M,333,Non-US / International,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
38,midwestsafety,Midwest Safety,4700000,4.7M,3070000000,3.07B,1.08K,Non-political / other,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
39,associatedpress,Associated Press,4650000,4.65M,4540000000,4.54B,203.65K,Center/Institutional,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
40,frontline,FRONTLINE PBS | Official,4480000,4.48M,997410000,997.41M,1.27K,Center/Institutional,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
41,reuters,Reuters,4310000,4.31M,2420000000,2.42B,88.87K,Center/Institutional,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
42,megynkelly,Megyn Kelly,4150000,4.15M,3380000000,3.38B,15.89K,Right,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
43,donaldjtrumpforpresident,Donald J Trump,3960000,3.96M,933880000,933.88M,4.36K,Right,Right politician,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
44,currenttimetv,Настоящее Время,3930000,3.93M,2550000000,2.55B,23.59K,Non-US / International,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
45,moreperfectunion,More Perfect Union,3930000,3.93M,807230000,807.23M,1.94K,Left,Left progressive,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
46,kantipurtvhd,Kantipur TV HD,3780000,3.78M,1180000000,1.18B,94.55K,Non-US / International,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
47,voanews,Voice of America,3780000,3.78M,1590000000,1.59B,51.27K,Non-US / International,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
48,france24_en,FRANCE 24 English,3670000,3.67M,1710000000,1.71B,127.92K,Non-US / International,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
49,thedavidpakmanshow,David Pakman Show,3660000,3.66M,3800000000,3.8B,44.57K,Left,Left commentary,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
50,cruxnews,CRUX,3470000,3.47M,2180000000,2.18B,43.74K,Non-US / International,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
51,mattwalsh,Matt Walsh,3460000,3.46M,1550000000,1.55B,7.51K,Right,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
52,codebluecam,Code Blue Cam,3410000,3.41M,1300000000,1.3B,527,Non-political / other,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
53,cnbctelevision,CNBC Television,3400000,3.4M,2660000000,2.66B,158.85K,Center/Institutional,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
54,foxbusiness,Fox Business,3390000,3.39M,5110000000,5.11B,92.36K,Right,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
55,democracynow,Democracy Now!,3390000,3.39M,1360000000,1.36B,19.61K,Left,Left independent news,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
56,mizzimanewstv,MizzimaTV,3340000,3.34M,2029999999,2.03B,74.49K,Non-US / International,Not coded as US left/right,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
57,unitednations,United Nations,3320000,3.32M,493730000,493.73M,20.94K,Non-US / International,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
58,markets,Bloomberg Television,3270000,3.27M,1480000000,1.48B,97.52K,Center/Institutional,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
59,rubinreport,The Rubin Report,3230000,3.23M,2670000000,2.67B,11.07K,Right,Right commentary,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
60,dailywire,The Daily Wire,3230000,3.23M,1100000000,1.1B,8.26K,Right,Right media,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
61,primerimpacto,Primer Impacto,3220000,3.22M,1620000000,1.62B,20.55K,Non-US / International,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
62,whitehouse,The White House,3140000,3.14M,236660000,236.66M,2.2K,Center/Institutional,Institutional government,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
63,crimepatrolofficial,Crime Patrol,3100000,3.1M,160290000,160.29M,4.31K,Non-political / other,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
64,rfaburmese,RFA လွတ်လပ်တဲ့အာရှအသံ,3060000,3.06M,1250000000,1.25B,28.13K,Non-US / International,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
